10.10.30.201,9C:7B:EF:AC:2E:14,<--PC1
10.10.30.202,F4:39:09:00:23:A4,<--PC2
10.10.30.203,9C:7B:EF:AC:30:01,<--PC3
10.10.30.204,F4:39:09:00:EB:2F,<--PC4
10.10.30.205,9C:7B:EF:AC:2A:C7,<--PC5
10.10.30.206,9C:7B:EF:AC:2F:1F,<--PC6
10.10.30.207,9C:7B:EF:AC:31:75,<--PC7
10.10.30.208,9C:7B:EF:AC:31:64,<--PC8
10.10.30.209,9C:7B:EF:AC:2F:73,<--PC9
10.10.30.210,9C:7B:EF:AC:31:42,<--PC10
10.10.30.211,9C:7B:EF:AC:32:35,<--PC11
10.10.30.212,9C:7B:EF:AB:FE:BA,<--PC12
10.10.30.213,9C:7B:EF:AC:30:C5,<--PC13
10.10.30.214,9C:7B:EF:AC:30:B4,<--PC14
10.10.30.215,9C:7B:EF:AC:2C:B8,<--PC15
10.10.30.216,9C:7B:EF:AC:31:56,<--PC16
10.10.30.217,9C:7B:EF:AC:31:63,<--PC17
10.10.30.218,9C:7B:EF:AC:2B:00,<--PC18
10.10.30.219,9C:7B:EF:AC:2E:B5,<--PC19
10.10.30.220,9C:7B:EF:AC:31:1C,<--PC20
10.10.30.221,9C:7B:EF:AB:F9:87,<--PC21
10.10.30.222,9C:7B:EF:A9:6A:C3,<--PC22
10.10.30.223,F4:39:09:13:D0:01,<--PC23
10.10.30.224,9C:7B:EF:AC:04:AE,<--PC24
10.10.30.254,NAS,<--NAS
